Year,Population,Growth Rate(%)
2022,"115,559,009",1.47
2021,"113,880,328",1.51
2020,"112,190,977",1.64
2019,"110,380,804",1.67
2018,"108,568,836",1.71
2017,"106,738,501",1.78
2016,"104,875,266",1.79
2015,"103,031,365",1.68
2014,"101,325,201",1.63
2013,"99,700,107",1.7
2012,"98,032,317",1.76
2011,"96,337,913",1.8
2010,"94,636,700",1.82
